Facility|MS-DRG |Expected  Payment
GGH|1|235,782.53
GGH|2|119,876.01
GGH|3|161,916.61
GGH|4|98,857.40
GGH|5|88,380.87
GGH|6|42,080.20
GGH|7|92,411.14
GGH|8|48,413.27
GGH|10|34,457.05
GGH|11|42,692.07
GGH|12|32,737.20
GGH|13|21,259.89
GGH|14|109,162.90
GGH|16|59,213.19
GGH|17|38,467.77
GGH|20|92,706.44
GGH|21|71,029.19
GGH|22|42,589.95
GGH|23|48,421.79
GGH|24|34,800.83
GGH|25|38,017.58
GGH|26|26,540.28
GGH|27|21,016.50
GGH|28|48,194.58
GGH|29|27,912.08
GGH|30|19,956.18
GGH|31|37,847.38
GGH|32|19,275.38
GGH|33|15,095.31
GGH|34|32,564.45
GGH|35|20,212.33
GGH|36|15,521.66
GGH|37|28,220.99
GGH|38|14,876.62
GGH|39|10,248.08
GGH|40|34,153.24
GGH|41|20,802.06
GGH|42|16,349.68
GGH|52|14,482.60
GGH|53|8,842.25
GGH|54|12,024.96
GGH|55|9,011.59
GGH|56|19,277.93
GGH|57|10,924.62
GGH|58|17,255.13
GGH|59|9,900.88
GGH|60|8,124.02
GGH|61|24,393.24
GGH|62|17,735.95
GGH|63|14,924.27
GGH|64|16,575.20
GGH|65|9,366.44
GGH|66|6,722.42
GGH|67|13,083.58
GGH|68|8,308.68
GGH|69|7,261.11
GGH|70|14,857.04
GGH|71|9,085.62
GGH|72|6,905.39
GGH|73|12,667.45
GGH|74|9,029.46
GGH|75|14,306.46
GGH|76|8,301.02
GGH|77|13,747.37
GGH|78|8,807.36
GGH|79|6,927.51
GGH|80|16,928.35
GGH|81|8,101.89
GGH|82|19,783.42
GGH|83|11,774.76
GGH|84|8,256.77
GGH|85|19,732.36
GGH|86|11,154.39
GGH|87|7,762.34
GGH|88|12,441.93
GGH|89|9,014.16
GGH|90|7,839.78
GGH|91|13,939.68
GGH|92|8,842.25
GGH|93|7,098.58
GGH|94|31,127.12
GGH|95|21,105.01
GGH|96|19,871.08
GGH|97|31,051.39
GGH|98|17,257.69
GGH|99|11,533.91
GGH|100|16,110.55
GGH|101|8,134.22
GGH|102|10,769.73
GGH|103|7,424.50
GGH|113|18,764.80
GGH|114|10,754.41
GGH|115|13,266.54
GGH|116|16,713.04
GGH|117|9,953.63
GGH|121|11,409.69
GGH|122|7,195.58
GGH|123|7,265.37
GGH|124|12,444.47
GGH|125|7,338.55
GGH|129|20,102.54
GGH|130|12,922.75
GGH|131|23,506.51
GGH|132|14,147.31
GGH|133|18,890.73
GGH|134|10,910.15
GGH|135|20,062.54
GGH|136|10,747.61
GGH|137|11,967.09
GGH|138|7,951.26
GGH|139|11,124.60
GGH|146|17,033.01
GGH|147|11,180.75
GGH|148|7,091.76
GGH|149|6,837.31
GGH|150|11,611.36
GGH|151|6,570.11
GGH|152|9,462.62
GGH|153|6,632.22
GGH|154|12,849.55
GGH|155|8,289.10
GGH|156|6,190.56
GGH|157|13,920.96
GGH|158|7,995.51
GGH|159|6,347.14
GGH|163|42,095.53
GGH|164|22,164.50
GGH|165|16,357.33
GGH|166|32,368.71
GGH|167|16,912.18
GGH|168|11,910.90
GGH|175|12,912.54
GGH|176|7,840.63
GGH|177|16,714.76
GGH|178|11,201.19
GGH|179|7,991.26
GGH|180|15,299.56
GGH|181|10,424.23
GGH|182|7,792.97
GGH|183|13,463.98
GGH|184|9,285.62
GGH|185|6,867.10
GGH|186|13,750.76
GGH|187|9,368.15
GGH|188|6,840.72
GGH|189|10,966.32
GGH|190|10,356.16
GGH|191|8,218.47
GGH|192|6,656.05
GGH|193|11,968.79
GGH|194|8,182.72
GGH|195|6,425.42
GGH|196|14,878.32
GGH|197|9,313.70
GGH|198|7,045.80
GGH|199|15,888.44
GGH|200|9,829.40
GGH|201|6,730.92
GGH|202|8,688.22
GGH|203|6,524.99
GGH|204|7,535.12
GGH|205|14,527.71
GGH|206|8,045.72
GGH|207|49,430.22
GGH|208|21,760.28
GGH|215|110,280.25
GGH|216|86,080.64
GGH|217|57,225.27
GGH|218|46,586.22
GGH|219|67,339.29
GGH|220|45,773.50
GGH|221|39,734.02
GGH|222|71,632.53
GGH|223|51,704.89
GGH|224|63,561.74
GGH|225|48,691.55
GGH|226|57,532.49
GGH|227|45,120.82
GGH|228|54,116.61
GGH|229|35,553.12
GGH|231|70,499.88
GGH|232|51,565.35
GGH|233|66,733.40
GGH|234|44,925.91
GGH|235|50,698.19
GGH|236|34,908.07
GGH|239|40,359.51
GGH|240|24,108.16
GGH|241|13,524.40
GGH|242|32,201.91
GGH|243|22,145.79
GGH|244|18,282.28
GGH|245|44,938.69
GGH|246|27,621.05
GGH|247|17,935.93
GGH|248|26,971.74
GGH|249|16,930.89
GGH|250|22,321.93
GGH|251|14,942.99
GGH|252|28,536.70
GGH|253|22,802.75
GGH|254|16,109.71
GGH|255|23,168.66
GGH|256|15,228.07
GGH|257|10,274.46
GGH|258|26,650.06
GGH|259|18,343.55
GGH|260|32,104.06
GGH|261|17,202.38
GGH|262|14,897.03
GGH|263|20,696.54
GGH|264|28,175.88
GGH|265|27,182.79
GGH|266|61,223.22
GGH|267|48,919.60
GGH|268|58,340.08
GGH|269|36,927.47
GGH|270|44,108.12
GGH|271|30,813.96
GGH|272|22,757.63
GGH|273|32,195.10
GGH|274|27,510.41
GGH|280|14,499.63
GGH|281|8,864.37
GGH|282|6,900.29
GGH|283|15,936.10
GGH|284|6,793.06
GGH|285|5,027.26
GGH|286|19,320.49
GGH|287|10,425.94
GGH|288|23,235.03
GGH|289|14,779.60
GGH|290|9,135.85
GGH|291|12,073.45
GGH|292|8,326.55
GGH|293|6,197.36
GGH|294|11,444.56
GGH|295|5,531.04
GGH|296|13,984.77
GGH|297|6,773.49
GGH|298|4,903.02
GGH|299|12,957.63
GGH|300|9,365.60
GGH|301|6,797.32
GGH|302|10,001.28
GGH|303|6,370.98
GGH|304|9,909.39
GGH|305|6,845.82
GGH|306|12,658.07
GGH|307|8,128.26
GGH|308|10,728.05
GGH|309|7,056.88
GGH|310|5,380.42
GGH|311|6,450.12
GGH|312|7,570.01
GGH|313|6,707.95
GGH|314|17,891.67
GGH|315|8,878.84
GGH|316|6,936.88
GGH|319|35,517.38
GGH|320|20,599.53
GGH|326|45,472.26
GGH|327|22,515.95
GGH|328|14,023.93
GGH|329|42,380.62
GGH|330|22,123.65
GGH|331|14,995.75
GGH|332|30,336.54
GGH|333|19,880.43
GGH|334|13,728.63
GGH|335|35,044.23
GGH|336|19,905.96
GGH|337|14,574.52
GGH|338|25,385.48
GGH|339|15,224.66
GGH|340|11,151.84
GGH|341|22,390.01
GGH|342|14,324.32
GGH|343|10,420.83
GGH|344|26,108.82
GGH|345|14,520.05
GGH|346|11,536.49
GGH|347|23,056.33
GGH|348|12,613.84
GGH|349|8,968.18
GGH|350|21,379.04
GGH|351|13,030.81
GGH|352|9,784.29
GGH|353|25,868.86
GGH|354|15,275.72
GGH|355|12,299.81
GGH|356|35,317.38
GGH|357|19,771.51
GGH|358|12,293.86
GGH|368|16,820.27
GGH|369|9,667.71
GGH|370|6,980.28
GGH|371|15,304.66
GGH|372|9,322.20
GGH|373|6,933.47
GGH|374|17,619.36
GGH|375|10,894.83
GGH|376|9,141.80
GGH|377|15,682.50
GGH|378|9,029.46
GGH|379|6,115.67
GGH|380|16,684.11
GGH|381|9,783.44
GGH|382|7,355.57
GGH|383|11,907.51
GGH|384|8,026.14
GGH|385|14,324.32
GGH|386|9,004.77
GGH|387|6,583.72
GGH|388|13,599.28
GGH|389|7,766.59
GGH|390|5,553.17
GGH|391|11,130.55
GGH|392|7,101.12
GGH|393|14,445.16
GGH|394|8,603.98
GGH|395|6,189.71
GGH|405|46,805.75
GGH|406|24,371.11
GGH|407|18,375.03
GGH|408|30,946.71
GGH|409|20,991.83
GGH|410|14,747.28
GGH|411|33,217.15
GGH|412|20,848.88
GGH|413|14,383.90
GGH|414|29,694.05
GGH|415|18,080.59
GGH|416|12,111.76
GGH|417|21,135.63
GGH|418|14,823.00
GGH|419|11,741.57
GGH|420|29,850.63
GGH|421|16,289.25
GGH|422|12,572.97
GGH|423|36,687.49
GGH|424|19,780.02
